RECTYPE,LEA,ESTAB,URN,ICLOSE,NFTYPE,TPUP,ATT8SCR,P8MEA,P8CILOW,P8CIUPP,PTEBACC_E_PTQ_EE,PTEBACC_PTQ_EE,PTL2BASICS_LL_PTQ_EE,PTAC5EM_PTQ_EE
1,204,6388,100300,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,204,4697,100284,0,VA,119,44.3,-0.12,-0.32,0.08,61%,23%,44%,39%
1,204,6072,100287,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,204,4318,133599,0,VA,76,59.4,0.47,0.22,0.72,0%,0%,86%,71%
2,204,7161,100311,0,CYS,11,NE,NE,NE,NE,NE,NE,NE,NE
2,204,7171,100312,0,CYS,4,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
2,204,6009,141029,0,INDSPEC,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,204,6003,137808,0,INDSPEC,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,204,7097,100307,0,CYS,20,4.6,-1.78,-2.26,-1.30,0%,0%,0%,0%
4,204,,,,,2040,52.3,0.35,0.30,0.40,52.5%,32.5%,69.3%,63.5%
1,205,6905,131752,0,AC,171,52.0,0.17,0.01,0.34,78%,29%,61%,47%
1,205,6404,134735,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,205,4001,141135,0,F,,,,,,,,,
1,205,4106,139364,0,ACC,70,44.1,-0.19,-0.47,0.09,19%,10%,46%,44%
1,205,4315,139365,0,ACC,124,56.7,0.71,0.50,0.91,54%,46%,75%,69%
1,205,6291,100369,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,205,6906,136172,0,AC,111,52.7,-0.04,-0.25,0.16,88%,34%,67%,60%
1,205,4002,141617,0,AC,79,49.4,0.16,-0.13,0.44,52%,14%,71%,63%
1,205,4632,138607,0,ACC,119,61.3,0.17,-0.03,0.37,71%,61%,87%,82%
1,205,6306,100370,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,205,5400,137157,0,ACC,182,64.9,0.47,0.32,0.63,83%,69%,88%,87%
1,205,4004,143129,0,AC,,,,,,,,,
1,205,4314,100359,1,FD,161,43.6,-0.39,-0.56,-0.22,39%,8%,50%,41%
1,205,4620,137935,0,ACC,164,64.7,0.41,0.25,0.58,80%,71%,87%,85%
1,205,6399,100527,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,205,6011,100366,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,205,6405,136504,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,205,4000,136750,0,F,120,58.0,0.13,-0.07,0.33,74%,46%,75%,68%
1,205,6200,135729,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,205,7204,100382,0,CYS,12,0.8,-1.92,-2.55,-1.29,0%,0%,0%,0%
2,205,7203,100381,0,CYS,7,NE,NE,NE,NE,NE,NE,NE,NE
2,205,6395,131675,0,INDSPEC,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,205,7206,135175,0,NMSS,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,205,7014,100378,0,CYS,9,NE,NE,NE,NE,NE,NE,NE,NE
2,205,7153,100379,0,CYS,21,14.6,-1.18,-1.66,-0.70,0%,0%,5%,0%
4,205,,,,,1352,53.9,0.12,0.06,0.18,64.5%,40.3%,69.4%,63.6%
1,206,4325,131690,0,FD,133,46.1,0.31,0.10,0.52,17%,14%,56%,50%
1,206,4614,100458,0,VA,137,58.2,0.66,0.48,0.84,42%,31%,85%,81%
1,206,6906,135587,0,AC,107,54.3,0.81,0.61,1.02,46%,31%,68%,63%
1,206,4324,100457,0,CY,132,53.8,0.42,0.23,0.61,75%,40%,73%,66%
1,206,4307,100455,0,CY,133,53.0,0.42,0.23,0.61,36%,29%,70%,64%
1,206,4108,100452,0,CY,201,45.2,-0.35,-0.51,-0.20,52%,24%,45%,40%
1,206,4112,100453,0,CY,145,45.6,-0.16,-0.34,0.02,24%,10%,36%,31%
1,206,6162,100461,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,206,4704,100460,0,VA,90,47.1,0.21,-0.02,0.44,23%,18%,58%,56%
1,206,4651,100459,0,VA,163,53.9,0.22,0.06,0.39,71%,39%,76%,66%
1,206,6905,134314,0,AC,147,52.9,0.06,-0.11,0.24,47%,33%,82%,76%
2,206,7031,134030,0,CYS,5,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
2,206,7030,100467,0,CYS,5,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
2,206,7146,100469,0,CYS,10,4.5,-1.42,-2.12,-0.73,0%,0%,0%,0%
4,206,,,,,1400,50.4,0.19,0.14,0.25,44.4%,26.9%,63.8%,58.0%
1,207,6348,100537,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,207,5402,141931,0,ACC,119,62.9,0.44,0.24,0.63,61%,55%,88%,84%
1,207,6905,135531,0,AC,170,54.8,0.38,0.21,0.55,36%,20%,72%,65%
1,207,6362,100539,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,207,6386,100544,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,207,6262,100526,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,207,6007,140225,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,207,4320,140134,0,ACC,224,61.4,0.58,0.43,0.72,79%,62%,82%,80%
1,207,4000,140212,0,AC,,,,,,,,,
1,207,6391,100547,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,207,6363,100540,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,207,6202,100521,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,207,6026,100511,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,207,4681,100502,0,VA,120,52.1,0.12,-0.08,0.31,34%,14%,64%,51%
1,207,4801,100503,0,VA,97,51.6,0.12,-0.11,0.34,38%,26%,72%,65%
1,207,6396,131778,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,207,6009,140603,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,207,7164,141957,0,ACCS,11,NE,NE,NE,NE,NE,NE,NE,NE
4,207,,,,,740,56.5,0.35,0.27,0.43,52.4%,37.7%,75.3%,69.5%
1,208,5403,100640,0,VA,104,45.9,-0.35,-0.57,-0.14,45%,12%,61%,38%
1,208,6906,135389,0,AC,175,46.6,0.02,-0.15,0.19,50%,26%,48%,39%
1,208,5401,100638,0,VA,179,60.1,0.68,0.52,0.84,39%,36%,86%,84%
1,208,6907,137954,0,AC,,,,,,,,,
1,208,6004,100529,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,208,5402,137093,0,ACC,177,51.3,-0.10,-0.27,0.06,72%,19%,68%,62%
1,208,5207,136288,0,ACC,,,,,,,,,
1,208,4731,129649,0,VC,167,46.0,-0.20,-0.38,-0.03,45%,16%,44%,39%
1,208,5400,100637,0,VA,148,55.1,0.41,0.23,0.58,67%,39%,72%,67%
1,208,6905,134815,0,AC,165,48.3,0.11,-0.06,0.28,27%,14%,59%,55%
1,208,4321,100625,0,CY,110,51.0,0.52,0.31,0.73,44%,28%,61%,56%
1,208,5405,100642,0,FD,101,50.8,-0.34,-0.55,-0.13,42%,22%,70%,58%
1,208,4223,100624,0,CY,129,48.3,0.00,-0.20,0.19,56%,40%,61%,58%
1,208,4000,139659,0,F,1,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
1,208,4322,136450,0,ACC,186,54.1,0.56,0.40,0.73,80%,28%,72%,69%
1,208,4509,100627,0,VA,60,46.4,0.27,-0.10,0.64,35%,20%,67%,50%
1,208,5404,137966,0,ACC,147,49.6,-0.22,-0.40,-0.04,50%,24%,57%,54%
1,208,4005,142905,0,FUTC,,,,,,,,,
1,208,6311,100648,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,208,4003,140966,0,F,,,,,,,,,
2,208,7115,100659,0,CYS,16,5.5,-2.15,-2.73,-1.57,0%,0%,0%,0%
2,208,7001,100654,0,CYS,18,3.7,-1.77,-2.27,-1.26,0%,0%,0%,0%
2,208,7195,133442,0,CYS,4,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
2,208,5950,100643,0,FDS,16,0.6,-1.49,-2.01,-0.96,0%,0%,0%,0%
4,208,,,,,1898,49.5,0.07,0.02,0.12,50.4%,24.7%,61.9%,55.7%
1,209,4600,100748,0,VA,119,45.4,-0.46,-0.66,-0.26,8%,5%,60%,59%
1,209,4802,100752,0,VA,148,53.5,0.41,0.23,0.58,34%,24%,70%,63%
1,209,4249,100742,0,CY,158,45.1,-0.36,-0.53,-0.19,56%,17%,51%,43%
1,209,4047,100740,0,CY,180,47.1,-0.04,-0.21,0.13,29%,27%,66%,59%
1,209,4289,100745,0,CY,221,46.4,-0.40,-0.54,-0.25,39%,24%,43%,39%
1,209,6905,135073,0,AC,196,54.0,0.17,0.01,0.32,48%,34%,70%,65%
1,209,6906,135070,0,AC,170,45.4,-0.46,-0.62,-0.29,47%,19%,51%,42%
1,209,6001,141018,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,209,6409,135901,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,209,4323,100747,0,FD,160,43.2,-0.24,-0.42,-0.06,36%,18%,43%,33%
1,209,4646,100750,0,VA,118,55.6,0.26,0.06,0.46,53%,35%,67%,65%
1,209,5201,135843,0,FD,103,50.5,0.26,0.05,0.47,88%,30%,58%,51%
1,209,6032,100754,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,209,6907,135264,0,AC,154,48.1,0.22,0.04,0.40,21%,8%,58%,53%
1,209,4267,100743,0,CY,238,41.0,-0.70,-0.85,-0.55,43%,10%,42%,35%
1,209,6309,100757,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,209,4204,100741,0,CY,213,54.5,0.33,0.18,0.48,59%,44%,72%,64%
1,209,4636,100749,0,VA,110,49.3,-0.25,-0.46,-0.05,48%,25%,58%,52%
2,209,7038,100760,0,FDS,19,5.9,-1.57,-2.06,-1.08,0%,0%,0%,0%
2,209,7183,136423,0,CYS,19,1.0,-1.71,-2.21,-1.20,0%,0%,0%,0%
2,209,7180,100765,0,CYS,11,NE,NE,NE,NE,NE,NE,NE,NE
4,209,,,,,2335,47.3,-0.14,-0.18,-0.09,42.4%,22.5%,55.9%,49.9%
1,210,6312,100864,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,210,4001,139718,0,AC,,,,,,,,,
1,210,6912,135584,0,AC,178,45.4,0.06,-0.12,0.23,24%,19%,60%,41%
1,210,6909,135315,0,AC,165,48.3,0.01,-0.16,0.17,53%,26%,56%,50%
1,210,6911,135401,0,AC,176,48.7,-0.47,-0.63,-0.32,56%,19%,56%,52%
1,210,6006,141562,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,210,4318,136298,0,ACC,173,56.9,0.32,0.16,0.48,50%,43%,77%,75%
1,210,6905,134222,0,AC,177,57.3,0.16,0.00,0.32,40%,27%,78%,76%
1,210,4000,139587,0,F,,,,,,,,,
1,210,6000,100861,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,210,6394,134573,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,210,6907,131747,0,AC,167,51.1,0.20,0.03,0.38,69%,38%,61%,56%
1,210,6906,134225,0,AC,156,45.6,0.16,-0.03,0.35,31%,21%,52%,45%
1,210,6913,135816,0,AC,128,53.6,0.49,0.30,0.68,63%,33%,67%,62%
1,210,6908,132711,0,AC,146,58.3,0.95,0.76,1.13,87%,42%,80%,75%
1,210,6002,100863,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,210,4265,136309,0,ACC,271,59.9,0.27,0.13,0.40,69%,48%,77%,74%
1,210,5404,100859,0,VA,118,49.7,0.21,0.01,0.42,52%,39%,64%,60%
1,210,5405,138960,0,ACC,128,57.4,0.81,0.62,1.00,64%,48%,79%,70%
1,210,5403,138961,0,ACC,121,56.0,0.05,-0.14,0.25,75%,51%,80%,72%
1,210,4680,100849,0,VA,128,55.6,0.16,-0.03,0.34,84%,39%,73%,66%
1,210,5402,100857,0,VA,140,56.5,0.92,0.73,1.11,69%,51%,81%,79%
1,210,4002,140221,0,AC,,,,,,,,,
2,210,6391,131237,0,INDSPEC,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,210,7007,100872,0,CYS,16,1.4,-1.55,-2.16,-0.95,0%,0%,0%,0%
2,210,7064,140138,0,ACCS,14,10.2,-3.17,-3.75,-2.59,0%,0%,0%,0%
2,210,6007,141701,0,INDSPEC,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,210,7048,100873,0,CYS,15,0.5,-1.56,-2.12,-1.00,0%,0%,0%,0%
2,210,6005,141031,0,INDSPEC,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,210,7174,100880,0,CYS,10,NE,NE,NE,NE,NE,NE,NE,NE
4,210,,,,,2396,52.8,0.23,0.18,0.27,57.7%,35.6%,68.6%,62.8%
1,211,6007,138980,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA
